Bit Position,Description,Semantics Definition,Reference
0,Unauthenticated,Section 3.1,[RFC4656]
1,Authenticated,Section 3.1,[RFC4656]
2,Encrypted,Section 3.1,[RFC4656]
3,"Unauth. TEST protocol, Encrypted CONTROL",Section 3.1,[RFC5618]
4,Individual Session Control,,[RFC5938]
5,Reflect Octets Capability,,[RFC6038]
6,Symmetrical Size Sender Test Packet Format,,[RFC6038]
7,IKEv2Derived Mode Capability,Section 5,[RFC7717]
8,DSCP and ECN Monitoring Capability,Section 2,[RFC-ietf-ippm-type-p-monitor-03]
9-31,Unassigned,,
