Namespace,Property,Reference
,SOURCE,"[RFC6350], Section 6.1.3"
,KIND,"[RFC6350], Section 6.1.4"
,XML,"[RFC6350], Section 6.1.5"
,FN,"[RFC6350], Section 6.2.1"
,N,"[RFC6350], Section 6.2.2"
,NICKNAME,"[RFC6350], Section 6.2.3"
,PHOTO,"[RFC6350], Section 6.2.4"
,BDAY,"[RFC6350], Section 6.2.5"
,ANNIVERSARY,"[RFC6350], Section 6.2.6"
,GENDER,"[RFC6350], Section 6.2.7"
,ADR,"[RFC6350], Section 6.3.1"
,TEL,"[RFC6350], Section 6.4.1"
,EMAIL,"[RFC6350], Section 6.4.2"
,IMPP,"[RFC6350], Section 6.4.3"
,LANG,"[RFC6350], Section 6.4.4"
,TZ,"[RFC6350], Section 6.5.1"
,GEO,"[RFC6350], Section 6.5.2"
,TITLE,"[RFC6350], Section 6.6.1"
,ROLE,"[RFC6350], Section 6.6.2"
,LOGO,"[RFC6350], Section 6.6.3"
,ORG,"[RFC6350], Section 6.6.4"
,MEMBER,"[RFC6350], Section 6.6.5"
,RELATED,"[RFC6350], Section 6.6.6"
,CATEGORIES,"[RFC6350], Section 6.7.1"
,NOTE,"[RFC6350], Section 6.7.2"
,PRODID,"[RFC6350], Section 6.7.3"
,REV,"[RFC6350], Section 6.7.4"
,SOUND,"[RFC6350], Section 6.7.5"
,UID,"[RFC6350], Section 6.7.6"
,CLIENTPIDMAP,"[RFC6350], Section 6.7.7"
,URL,"[RFC6350], Section 6.7.8"
,VERSION,"[RFC6350], Section 6.7.9"
,KEY,"[RFC6350], Section 6.8.1"
,FBURL,"[RFC6350], Section 6.9.1"
,CALADRURI,"[RFC6350], Section 6.9.2"
,CALURI,"[RFC6350], Section 6.9.3"
,BIRTHPLACE,"[RFC6474], Section 2.1"
,DEATHPLACE,"[RFC6474], Section 2.2"
,DEATHDATE,"[RFC6474], Section 2.3"
,EXPERTISE,"[RFC6715], Section 2.1"
,HOBBY,"[RFC6715], Section 2.2"
,INTEREST,"[RFC6715], Section 2.3"
,ORG-DIRECTORY,"[RFC6715], Section 2.4 [RFC Errata 
          3341]"
,CONTACT-URI,"[RFC8605], Section 2.1"
