Value,Description,Reference
ConnectionName,Name of connection profile,[RFC7869]
VncUsername,VNC server username,[RFC7869]
VncPassword,VNC server password,[RFC7869]
SecurityType,RFB security type used,[RFC7869]
ChannelType,Connection channel type,[RFC7869]
SshHost,SSH server hostname or IP,[RFC7869]
SshPort,SSH server port,[RFC7869]
SshUsername,SSH username,[RFC7869]
SshPassword,SSH password,[RFC7869]
IdHashAlgorithm,"Hash algorithm used with ""IdHash"" parameter",[RFC7869]
IdHash,Expected hash of remote public key or certificate,[RFC7869]
ColorLevel,Client color depth/mode,[RFC7869]
ViewOnly,Client is view only,[RFC7869]
SaveConnection,Store connection info,[RFC7869]
