Index,Name,Compression Code or FourCC Codec ID,Codec ID in the IANA Namespace,Description,Bit Depth,Contact
B.1,Intel RDX,ANIM,video/vnd.avi;codec=ANIM,Intel RDX,,"Intel Corporation
  5200 NE Elam Young Parkway
  Hillsboro, Oregon 97124 USA
  503-696-2448"
B.2,AuraVision Aura 2,AUR2,video/vnd.avi;codec=AUR2,AuraVision Aura 2: YUV 422,8,"Steve Gibson
  510-440-7180
  Fast Multimedia
  47865 Fremont Blvd
  Fremont, California 94538 USA"
B.3,AuraVision Aura 1,AURA,video/vnd.avi;codec=AURA,AuraVision Aura 1: YUV 411,6,"Steve Gibson
  510-440-7180
  Fast Multimedia
  47865 Fremont Blvd
  Fremont, California 94538 USA"
B.4,Brooktree MediaStream,BT20,video/vnd.avi;codec=BT20,Brooktree MediaStream,,"Dave Wilson
  512-502-1725
  Brooktree Corporation
  9868 Scranton Road
  San Diego, California 92121-3707 USA"
B.5,Brooktree Composite Video,BTCV,video/vnd.avi;codec=BTCV,Brooktree Composite Video,,"Dave Wilson
  512-502-1725
  Brooktree Corporation
  9868 Scranton Road
  San Diego, California 92121-3707 USA"
B.6,Intel YUV12,CC12,video/vnd.avi;codec=CC12,AuraVision Aura 2: Intel YUV12,,"Intel Corporation
  5200 NE Elam Young Parkway
  Hillsboro, Oregon 97124 USA
  503-696-2448"
B.7,Canopus DV,CDVC,video/vnd.avi;codec=CDVC,Canopus DV,,"Masayoshi Araki
  81-78-992-7812
  m-araki&canopus.co.jp
  Canopus, Co., Ltd.
  Kobe Hi-Tech Park
  1-2-2 Murotani, Nishi-ku
  Kobe, Hyogo 651-22 Japan"
B.8,Winnov Caviara Cham,CHAM,video/vnd.avi;codec=CHAM,Winnov Caviara Cham,,"Winnov, Inc.
  1230 Oakmead Parkway, Suite 312
  Sunnyvale, California 94086 USA
  408-733-7419"
B.9,Proprietary YUV 4 pixels,CLJR,video/vnd.avi;codec=CLJR,Proprietary YUV 4 pixels/DWORD,,"Mr Scott MacDonald
  512 442-7555
  Cirrus Logic"
B.10,Common Data Format in Printing,CMYK,video/vnd.avi;codec=CMYK,Common Data Format in Printing,32bits (8 per component),"Colorgraph (UK)
  2 Mars House, Calleva Park
  Aldermaston, Reading, Berkshire RG7 8LB UK
  +44-118-9819435"
