"ID",URI,Filename,Reference
allocationToken-1.0,urn:ietf:params:xml:ns:allocationToken-1.0,ns/allocationToken-1.0.txt,[RFC8495]
areg1,urn:ietf:params:xml:ns:areg1,ns/areg1.txt,[RFC4698]
asnx,urn:ietf:params:xml:ns:asnx,,[RFC4910]
basic-location-profiles,urn:ietf:params:xml:ns:basic-location-profiles,ns/basic-location-profiles.txt,[RFC6772]
caldav,urn:ietf:params:xml:ns:caldav,,[RFC4791]
carddav,urn:ietf:params:xml:ns:carddav,ns/carddav.txt,[RFC6352]
changePoll-1.0,urn:ietf:params:xml:ns:changePoll-1.0,ns/changePoll-1.0.txt,[RFC8590]
clue-info,urn:ietf:params:xml:ns:clue-info,ns/clue-info.txt,[RFC8846]
clue-protocol,urn:ietf:params:xml:ns:clue-protocol,ns/clue-protocol.txt,[RFC8847]
common-policy,urn:ietf:params:xml:ns:common-policy,ns/common-policy.txt,[RFC4745]
conference-info,urn:ietf:params:xml:ns:conference-info,ns/conference-info.txt,[RFC4575]
consent-rules,urn:ietf:params:xml:ns:consent-rules,ns/consent-rules.txt,[RFC5361]
consent-status,urn:ietf:params:xml:ns:consent-status,ns/consent-status.txt,[RFC5362]
contact-1.0,urn:ietf:params:xml:ns:contact-1.0,ns/contact-1.0.txt,[RFC5733]
control:framework-attributes,urn:ietf:params:xml:ns:control:framework-attributes,ns/control/framework-attributes.txt,[RFC6230]
copycontrol,urn:ietf:params:xml:ns:copycontrol,ns/copycontrol.txt,[RFC5364]
cpl,urn:ietf:params:xml:ns:cpl,ns/cpl.txt,[RFC3880]
cpxmlsec,urn:ietf:params:xml:ns:cpxmlsec,ns/cpxmlsec.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:gostr34102001-gostr3411,urn:ietf:params:xml:ns:cpxmlsec:algorithms:gostr34102001-gostr3411,ns/cpxmlsec/algorithms/gostr34102001-gostr3411.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:gostr34102012-gostr34112012-256,urn:ietf:params:xml:ns:cpxmlsec:algorithms:gostr34102012-gostr34112012-256,ns/cpxmlsec/algorithms/gostr34102012-gostr34112012-256.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:gostr34102012-gostr34112012-512,urn:ietf:params:xml:ns:cpxmlsec:algorithms:gostr34102012-gostr34112012-512,ns/cpxmlsec/algorithms/gostr34102012-gostr34112012-512.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:gostr3411,urn:ietf:params:xml:ns:cpxmlsec:algorithms:gostr3411,ns/cpxmlsec/algorithms/gostr3411.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:gostr34112012-256,urn:ietf:params:xml:ns:cpxmlsec:algorithms:gostr34112012-256,ns/cpxmlsec/algorithms/gostr34112012-256.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:gostr34112012-512,urn:ietf:params:xml:ns:cpxmlsec:algorithms:gostr34112012-512,ns/cpxmlsec/algorithms/gostr34112012-512.txt,[draft-smirnov-xmldsig-04]
cpxmlsec:algorithms:hmac-gostr34112012-256,urn:ietf:params:xml:ns:cpxmlsec:algorithms:hmac-gostr34112012-256,ns/cpxmlsec/algorithms/hmac-gostr34112012-256.txt,[draft-smirnov-xmldsig-04]
