"ID",URI,Filename,Reference
basic-location-profiles,urn:ietf:params:xml:schema:basic-location-profiles,schema/basic-location-profiles.xsd,[RFC6772]
clue-info,urn:ietf:params:xml:schema:clue-info,schema/clue-info.xsd,[RFC-ietf-clue-data-model-schema-17]
common-policy,urn:ietf:params:xml:ns:common-policy,schema/common-policy.xsd,[RFC4745]
conference-info,urn:ietf:params:xml:schema:conference-info,schema/conference-info.xsd,[RFC4575]
consent-rules,urn:ietf:params:xml:schema:consent-rules,schema/consent-rules.xsd,[RFC5361]
consent-status,urn:ietf:params:xml:schema:consent-status,schema/consent-status.xsd,[RFC5362]
contact-1.0,urn:ietf:params:xml:schema:contact-1.0,schema/contact-1.0.xsd,[RFC5733]
control:framework-attributes,urn:ietf:params:xml:schema:control:framework-attributes,schema/control/framework-attributes.xsd,[RFC6230]
copycontrol,urn:ietf:params:xml:schema:copycontrol,schema/copycontrol.xsd,[RFC5364]
cpl,urn:ietf:params:xml:schema:cpl,schema/cpl.xsd,[RFC3880]
dchk1,urn:ietf:params:xml:schema:dchk1,schema/dchk1.xsd,[RFC5144]
dialog-info,urn:ietf:params:xml:schema:dialog-info,schema/dialog-info.xsd,[RFC4235]
domain-1.0,urn:ietf:params:xml:schema:domain-1.0,schema/domain-1.0.xsd,[RFC5731]
dreg1,urn:ietf:params:xml:schema:dreg1,schema/dreg1.xsd,[RFC3982]
dssc,urn:ietf:params:xml:schema:dssc,schema/dssc.xsd,[RFC5698]
e164epp-1.0,urn:ietf:params:xml:schema:e164epp-1.0,schema/e164epp-1.0.xsd,[RFC4114]
e164val-1.0,urn:ietf:params:xml:schema:e164val-1.0,schema/e164val-1.0.xsd,[RFC5076]
e164valex-1.1,urn:ietf:params:xml:schema:e164valex-1.1,schema/e164valex-1.1.xsd,[RFC5076]
ECMLv2,urn:ietf:params:xml:schema:ECMLv2,schema/ECMLv2.xsd,[RFC4112]
EmergencyCallData,urn:ietf:params:xml:schema:EmergencyCallData,schema/EmergencyCallData.xsd,[RFC7852]
EmergencyCallData:Comment,urn:ietf:params:xml:schema:EmergencyCallData:Comment,schema/EmergencyCallData/Comment.xsd,[RFC7852]
EmergencyCallData:DeviceInfo,urn:ietf:params:xml:schema:EmergencyCallData:DeviceInfo,schema/EmergencyCallData/DeviceInfo.xsd,[RFC7852]
EmergencyCallData:ProviderInfo,urn:ietf:params:xml:schema:EmergencyCallData:ProviderInfo,schema/EmergencyCallData/ProviderInfo.xsd,[RFC7852]
EmergencyCallData:ServiceInfo,urn:ietf:params:xml:schema:EmergencyCallData:ServiceInfo,schema/EmergencyCallData/ServiceInfo.xsd,[RFC7852]
EmergencyCallData:SubscriberInfo,urn:ietf:params:xml:schema:EmergencyCallData:SubscriberInfo,schema/EmergencyCallData/SubscriberInfo.xsd,[RFC7852]
enum-token-1.0,urn:ietf:params:xml:schema:enum-token-1.0,schema/enum-token-1.0.xsd,[RFC5105]
enum-tokendata-1.0,urn:ietf:params:xml:schema:enum-tokendata-1.0,schema/enum-tokendata-1.0.xsd,[RFC5105]
epp-1.0,urn:ietf:params:xml:schema:epp-1.0,schema/epp-1.0.xsd,[RFC5730]
eppcom-1.0,urn:ietf:params:xml:schema:eppcom-1.0,schema/eppcom-1.0.xsd,[RFC5730]
ereg1,urn:ietf:params:xml:schema:ereg1,schema/ereg1.xsd,[RFC4414]
ers,urn:ietf:params:xml:schema:ers,schema/ers.xsd,[RFC6283]
